Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,175.74784394795734,162.37364020359846,175.1819678719205
12_14_16,173.71866459823147,168.78890514487517,170.09853335946684
13_11_23,31.36020517743667,73.81513971569655,43.139257918455165
14_12_24,40.52176178356208,81.85320317154523,35.83757456706268
11_23_25,176.9053719601556,53.92425546689686,95.37273665594444
12_24_26,143.60076228903063,52.16854097090379,97.0142978739664
23_25_27,14.521485443898975,19.015413373987325,39.36508658802444
24_26_28,18.96446901627412,17.751578242539402,40.782072036264736
