Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,178.760463714808,168.84797108784906,174.9472328456783
12_14_16,169.5863132222431,174.21731686138406,176.19063573736923
13_11_23,141.1436892841517,76.95976866476863,80.6146327231338
14_12_24,133.1540044774025,82.78208116891848,80.48440195380964
11_23_25,51.938641613375445,91.98001983564619,96.05535893694316
12_24_26,47.88348921399644,93.99431538217328,94.91447923812981
23_25_27,176.76539870733038,79.90272952375321,81.60793833522112
24_26_28,151.83383129292775,77.7471035528762,80.551921013677
