Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,144.86054942941996,177.02180463492772,172.96851622123148
12_14_16,132.80151903833354,177.06041717483336,178.42320913150743
13_11_23,159.159552780292,179.4540548514427,177.7215503045471
14_12_24,162.10294289427108,176.388929970544,178.05457977996141
11_23_25,90.16078411727194,171.83530310771766,175.23189030481439
12_24_26,0.6063443446930157,171.45455293209935,173.7581781015725
23_25_27,96.97760770783933,177.56495223626428,178.2101788642966
24_26_28,17.85599072337324,179.13136502414454,178.9988496688254
