Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,176.1465336589831,175.22669368252622,166.06230908445215
12_14_16,167.22734312164718,165.46054312653723,170.4248489043911
13_11_23,33.258096759397965,65.87440062357999,78.81555760007092
14_12_24,69.65444427047953,74.5321348354133,64.42080181096748
11_23_25,179.84319145988187,110.83288465413631,169.2107806036114
12_24_26,56.8674143244544,165.35625621007858,110.11382234480263
23_25_27,4.1553948949153305,89.8908240783699,176.28431893946853
24_26_28,18.841661530746915,177.63194775769725,89.34907421004489
