Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,43.27386590130873,175.46629753771387,172.6917672536956
12_14_16,52.45933550917755,168.6863199565389,174.77811605304854
13_11_23,138.0384167918975,8.59025080704519,8.787764638802308
14_12_24,109.66947226416109,9.543527076603167,9.994493495246385
11_23_25,130.64822323366099,173.37940887478817,175.80681568709335
12_24_26,160.69885407109663,173.80008935453307,172.3716793995907
23_25_27,118.76436313588181,179.21590652633583,176.35350458340156
24_26_28,177.02259029738002,176.18168010011064,176.98395827961917
