Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,30.48121052212903,12.437890229934093,138.485441889322
12_14_16,20.943567581082558,135.76730438979428,10.311336354897765
13_11_23,168.6245610038851,169.9994038865282,170.89644424933564
14_12_24,120.8476577806756,159.2704954077289,169.31239777485158
11_23_25,140.7215989052526,165.93319505028578,159.28841198059146
12_24_26,56.4651832252856,158.53814594978707,169.0945534464743
23_25_27,176.19307048739878,47.60507745763765,3.5405625849016795
24_26_28,135.53947548297822,7.385515275044774,54.32071928002988
