Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,7.5880879307960205,84.91325418441163,84.96366975728372
12_14_16,75.32523583061352,93.63625800545178,81.64405370819178
13_11_23,168.15459357164255,40.945981998209824,41.294077845135845
14_12_24,76.19838778211566,43.41050155245377,39.928813711862986
11_23_25,168.20224715580372,109.75307982484254,108.42412060960537
12_24_26,177.48277316873376,108.98587319397015,109.09722169818201
23_25_27,178.1253513887269,170.5307324437075,167.6827318106502
24_26_28,177.47898244079116,168.99264750820205,168.87732101194922
