Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,173.0327408280887,173.55975544183386,176.87504157096055
12_14_16,75.85412785498185,174.4714106272803,174.29312775749776
13_11_23,5.844579050059076,10.378099322298954,5.889684365922349
14_12_24,74.48428839686498,6.6188713653998,10.925945691662719
11_23_25,105.57749596287516,163.3772914951149,175.7196943408408
12_24_26,162.11645714863587,179.799433344568,163.11575236049072
23_25_27,155.68614108433977,179.6646437925598,177.00392315827253
24_26_28,153.2509679551421,170.76582061877568,178.80523445043266
