Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,32.01600942549841,174.89342628667097,172.07463817861355
12_14_16,37.05310627111121,173.9539225419626,174.87424720164336
13_11_23,147.09602778561703,2.4360154143080535,10.56784359833302
14_12_24,175.0271814306283,10.225453981180477,3.5931030914053363
11_23_25,139.95506468297273,168.30244991248728,170.1809742757052
12_24_26,154.9313794977966,169.87601769067138,166.71290488092725
23_25_27,163.1344226713371,165.38500968214424,172.55925705027417
24_26_28,116.11249348528725,171.51702877529564,167.10387078411802
