Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,126.838968762153,135.06232990348738,130.6725130444218
12_14_16,151.94277209950602,130.54432286312326,137.43217234991278
13_11_23,22.344083075752234,18.889675343741203,20.014547258286086
14_12_24,21.677908273552596,20.494722277864568,20.264164573058054
11_23_25,171.02775728589654,98.97159123955196,100.30985153831878
12_24_26,142.16702391074398,99.5045824091628,98.87370349439712
23_25_27,5.6996072333691,15.627520302863607,12.374591995164147
24_26_28,14.310977276234226,13.729202473381115,12.763983554798655
