Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,174.85558021660216,169.44711520899412,168.2457271241349
12_14_16,171.672007874767,169.64937101166672,172.55922718867194
13_11_23,40.44371480113736,69.86720724650424,76.86080027360042
14_12_24,49.4053472085522,79.33588673412613,70.58170533635517
11_23_25,155.56249308901982,107.2029437162029,104.66759234167823
12_24_26,141.57346659693087,105.18923468685425,109.11927820450822
23_25_27,12.008443025095259,91.86191770731041,87.70752978562628
24_26_28,21.353841121251637,88.52247265321891,90.02032719384862
