Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,179.2499313338926,177.1177547641642,172.58575719768479
12_14_16,156.18621460404302,179.1891798463579,179.4084884372391
13_11_23,41.780606644137194,46.924055109503875,38.17695472001585
14_12_24,14.702252292668872,38.63341072571743,47.371770211642314
11_23_25,63.88798370123102,90.36631542350797,74.63916232226401
12_24_26,22.36995257741749,72.98781507643952,89.85108546677768
23_25_27,90.01521995051127,178.91456351909196,97.88367862588635
24_26_28,25.415443009064425,91.88711783951196,177.5621026205504
