Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,174.0966038309655,177.1177547641642,172.58575719768479
12_14_16,175.40873312974944,179.1891798463579,179.4084884372391
13_11_23,1.1898180214082201,46.924055109503875,38.17695472001585
14_12_24,16.91864357873863,38.63341072571743,47.371770211642314
11_23_25,29.72785955412797,90.36631542350797,74.63916232226401
12_24_26,154.35291072664157,72.98781507643952,89.85108546677768
23_25_27,46.169091217744864,178.91456351909196,97.88367862588635
24_26_28,168.92687294922095,91.88711783951196,177.5621026205504
