Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,153.50113499995908,144.00697540783673,142.953674180983
12_14_16,156.28851117272575,141.30063301609275,149.11965747600473
13_11_23,166.54681484147824,102.59695134429431,107.93515203138563
14_12_24,167.95018484091793,100.51004995685169,112.702006206655
11_23_25,27.973730219921418,38.699673058592026,59.8722230840012
12_24_26,32.261225009689696,54.571196508446384,35.884383043127286
23_25_27,167.5836690791059,165.12289656277494,176.1305299571337
24_26_28,173.48751518212956,174.61269392159252,168.2348832154201
