Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,175.65432432032995,170.2141564040555,169.89317190206955
12_14_16,174.84768050203095,171.3813104549194,164.1473754229981
13_11_23,54.62284454694542,69.3278988045151,68.39800421774112
14_12_24,42.32879773882627,66.13005779883244,65.89631615378374
11_23_25,139.8094506505666,168.82209552690716,112.13091140127072
12_24_26,167.2158691837578,115.70355137031231,168.55378414045384
23_25_27,61.31986379988098,174.96771134901576,92.3903292481545
24_26_28,17.29162034730891,95.21619414446407,175.41398001227176
