Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,156.96918017156227,116.44009933971046,81.56433886546374
12_14_16,156.09876199983157,85.52313501477293,123.25585490903038
13_11_23,32.52739318637179,17.533865203726624,11.540714779463357
14_12_24,30.434722805807024,7.670543270690988,27.260421862672647
11_23_25,91.1095145320335,75.42179767724171,78.97055794614998
12_24_26,95.54723465467131,88.40617330520284,70.31134968983201
23_25_27,13.149559483986689,80.91258600002203,76.05331313238301
24_26_28,17.796941079150137,82.57571565073592,76.64042980876854
