Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,154.90945434019807,163.79151142275757,167.4235358635102
12_14_16,162.75521362302172,170.6856546068646,154.51599141192725
13_11_23,165.78972560194552,100.26078056913366,97.53600950494416
14_12_24,156.1974425536035,103.70029570294817,93.39202706116171
11_23_25,17.22430466777311,41.90435356037646,45.772042785955286
12_24_26,29.344595295438705,39.22374592117763,45.25524308128202
23_25_27,164.49657121995017,178.77906709003517,178.1710679830134
24_26_28,178.33676038376598,171.37150668106358,178.29287104889448
