Landmark Pair,Front (degrees),Right (degrees),Left (degrees)
15_13_11,148.24728443462263,134.47204915968976,113.74183365204573
12_14_16,108.22535285615126,135.56487779210823,131.15604755189398
13_11_23,42.41404211428559,156.9200592656729,130.35157431032655
14_12_24,79.67908880347426,160.4586079683863,139.03338707819137
11_23_25,51.20807614825281,2.894862774856114,12.52777821160533
12_24_26,37.205923717964495,10.210911812691188,14.612801265880535
23_25_27,53.71626588732415,173.44099374001144,177.42741437065516
24_26_28,33.40579318584863,160.2797838907694,176.57491287040472
